City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tilichiki,60.4667,166.1,12.09,86,99,8.39,RU,1635033059
1,punta arenas,-53.15,-70.9167,35.71,87,90,27.63,CL,1635033061
2,praya,14.9215,-23.5087,77.54,78,0,12.66,CV,1635033064
3,antofagasta,-23.65,-70.4,60.08,77,6,7.76,CL,1635033066
4,severodvinsk,64.5635,39.8302,24.91,83,100,4.94,RU,1635033068
5,komsomolets,53.7453,62.0708,46.08,85,91,11.34,KZ,1635033071
6,nabire,-3.3667,135.4833,80.49,85,83,0.11,ID,1635033073
7,thompson,55.7435,-97.8558,33.96,75,75,3.44,CA,1635032961
8,paamiut,61.994,-49.6678,32.2,50,75,12.15,GL,1635033077
9,jamestown,42.097,-79.2353,45.01,95,90,3.0,US,1635033048
10,albany,42.6001,-73.9662,49.59,70,96,5.26,US,1635032937
11,mount gambier,-37.8333,140.7667,53.51,58,90,17.27,AU,1635033088
12,kankon,15.0167,74.0167,78.6,86,86,3.36,IN,1635033090
13,calvinia,-31.4707,19.776,45.82,76,0,2.24,ZA,1635033093
14,caravelas,-17.7125,-39.2481,75.45,81,54,5.35,BR,1635033095
15,kapaa,22.0752,-159.319,81.19,80,40,4.0,US,1635033097
16,hithadhoo,-0.6,73.0833,82.69,71,80,11.63,MV,1635033100
17,rikitea,-23.1203,-134.9692,75.16,79,90,18.61,PF,1635033102
18,barrow,71.2906,-156.7887,28.42,86,90,13.8,US,1635033105
19,provideniya,64.3833,-173.3,25.81,77,100,8.21,RU,1635033107
20,nikolskoye,59.7035,30.7861,36.79,90,99,9.95,RU,1635033109
21,samarai,-10.6167,150.6667,80.85,82,66,11.72,PG,1635033112
22,lasa,46.6166,10.7002,40.08,49,7,2.15,IT,1635033114
23,vaini,-21.2,-175.2,72.16,67,71,19.48,TO,1635033116
24,norman wells,65.282,-126.8329,42.84,65,40,4.61,CA,1635033121
25,chokurdakh,70.6333,147.9167,-2.22,98,100,6.51,RU,1635033123
26,nueva loja,0.0847,-76.8828,76.48,87,91,2.15,EC,1635033016
27,ushuaia,-54.8,-68.3,33.46,93,40,17.27,AR,1635033128
28,busselton,-33.65,115.3333,62.04,63,93,4.21,AU,1635033130
29,butaritari,3.0707,172.7902,81.14,73,98,8.19,KI,1635033132
30,aykhal,66.0,111.5,24.26,93,100,22.17,RU,1635033137
31,waipawa,-41.4122,175.5153,58.3,73,99,4.72,NZ,1635033139
32,qaanaaq,77.484,-69.3632,-0.81,57,0,8.08,GL,1635033141
33,yellowknife,62.456,-114.3525,42.42,84,75,14.97,CA,1635033144
34,mataura,-46.1927,168.8643,56.98,87,100,1.39,NZ,1635033146
35,ilulissat,69.2167,-51.1,14.95,97,100,2.73,GL,1635033149
36,hobart,-42.8794,147.3294,53.02,80,75,3.0,AU,1635032995
37,saskylakh,71.9167,114.0833,7.36,94,100,15.03,RU,1635033153
38,naze,28.3667,129.4833,63.52,64,99,20.96,JP,1635033133
39,quimper,48.0,-4.1,54.18,76,90,5.75,FR,1635033158
40,tuktoyaktuk,69.4541,-133.0374,30.2,86,90,9.22,CA,1635033160
